,tokenized_text,is_after_split_date
153,good morning mashed potato publishing currently self publishing company offers writing services small businesses long term goal publish market outside authors focus social justice history southern culture,False
154,theres scientific basis either legal basis ideas suggestions still gives voice sure care scientific rigor,False
155,minceir mother autistic child get need move away medical model developed non autistic people move towards human rights based approach led autistic people including minceirs autistic,False
156,hope helps spark many interesting conversations friends always come back discussing fascinating stuff,False
157,devdiscuss episode develop universal accessibility,False
158,devdiscuss episode develop universal accessibility via thepracticaldev,False
159,medicating normal film youre invited,False
160,podcast policing practices towards communities intersectuon race great time thank jousha opportunity check,False
161,devdiscuss episode develop universal accessibility,False
162,correction dr laurel youngs article mislabeled listed research dr youngs study mixedmethods concurrent transformational design integrates community music therapy movements looking quality life,False
163,autism identity disease inside movement,False
164,devdiscuss episode develop universal accessibility,False
165,affect individuals disabilities ivanova smith explains,False
166,care many issues simultaneously intersectionality baked many issues like feminism bipoc culture queerness wage disparities etc,False
167,think autism gets easier sense get older information collecting data really young data hannah gadsby,False
168,self advocacy network offered badges gala green actively seeking communication happy approached conversation yellow want talk people know red want talk anyone great idea,False
169,diversity includes limited race skin color ethnicity age gender gender identity sexual orientation disability religion nationality miss point diversity doesnt stop gender race many forms,False
170,check pal working hard get film,False
171,latest christian noob daily thanks,False
172,actually autistic person question exactly description find anything suggesting autism certainly dont also please autistics definition unwell thank using like future,False
173,autism identity disease inside movement katherine reynolds lewis,False
174,heres interesting article neuroscience come long way since c e something stay woke days,False
175,brains gamechangers organizations guest rick fiery think differently talent recruitment success stories competitive edge omnibrain teams,False
176,break inclusive cultures people disabilities mental illness measured flip head look recruitment practices clear protected characteristics identified considered,False
177,excellent article would like part paradigm discussion group looking venue,False
178,would say research means different diversity thought nothing workplace inclusive scapegoat comes back strategy business objectives,False
179,quite keen explore military mandated include obj discussions leaning towards importance lived experience diversity thought want fancy measured obj,False
180,traits enable bring depth dimension security testing increased memory skills enhanced perceptiveness eye detail ability easily understand complex systems,False
181,vulnerable something done us whether neglect prejudice greed irrational belief inhuman ideologies legislated people money power vulnerable dangers de,False
182,wonderful man working hard every day help marginalised society honoured call,False
183,loved depth interesting article friend colleague kakki lewis take look activists urging public embrace identity something fixed,False
184,honored included understanding autism popularized idea book neurotribes,False
185,making good bit time mental physical health checks balances reading whole book days enormously encouraging part thank,False
186,dont understand tho like one adhd lesbians like sexuality completely different things,False
187,looking forward ill chatting things autism inclusion next wednesday july,False
188,like sobbing notice upset please rt,False
189,music workers need modern day wpa rent relief affordable health care affordable mental health care debt relief thread,False
190,nicole dangelo music director disabled advocate performing arts constituent thread,False
191,normalize unlike depression usually treated easily autism epilepsy severe adhd etc lifelong incurable cannot fixed fought way cannot get rid autism need love embrace,False
192,saw going fill thought maybe also share contacts,False
193,yeah stimming different stims completely involuntary shouldnt repressed appologies anyone tourettes get wrong im pretty sure tics involuntary please please research topic autism,False
194,heard dyslexia autism asperger could perfect solution challenges trying solve organisation,False
195,heard dyslexia autism asperger could perfect solution challenges trying solve organisation,False
196,im sorry le officers cannot rapidly discern people rethink approach wrong line work le agencies lack effective protocols training responding people,False
197,many asd people ask many questions explained nt person help understand,False
198,latest meme highlights importance recognising autistic adults providing continual support help autistic individuals flourish,False
199,thinking need voices pandemic leadership people whose crisis response isnt tempered fear looking silly people arent afraid ask changed virus would precipitate change rules benefits everyone,False
