,Work,Lockdown,Supervisor
2022-04-06,340.0,16.0,107.0
2022-04-07,327.0,23.0,97.0
2022-04-08,325.0,14.0,84.0
2022-04-09,127.0,17.0,41.0
2022-04-11,295.0,24.0,87.0
2022-04-12,317.0,16.0,95.0
2022-04-13,305.0,13.0,65.0
2022-04-17,111.0,15.0,46.0
2022-04-18,380.0,14.0,47.0
2022-04-19,265.0,29.0,60.0
2022-04-20,286.0,22.0,92.0
2022-04-21,258.0,20.0,94.0
2022-04-23,186.0,14.0,63.0
2022-04-25,235.0,18.0,89.0
2022-04-27,349.0,20.0,86.0
2022-04-28,330.0,18.0,94.0
2022-04-29,297.0,28.0,82.0
2022-05-01,87.0,16.0,25.0
2022-05-03,265.0,20.0,100.0
2022-05-04,248.0,19.0,92.0
2022-05-05,239.0,9.0,69.0
2022-05-06,220.0,11.0,73.0
2022-05-07,130.0,8.0,44.0
2022-05-08,75.0,5.0,24.0
2022-05-10,269.0,28.0,85.0
2022-05-11,194.0,17.0,87.0
2022-05-13,195.0,24.0,74.0
2022-05-14,109.0,8.0,28.0
2022-05-16,215.0,16.0,76.0
2022-05-17,254.0,15.0,98.0
2022-05-18,234.0,16.0,100.0
2022-05-19,222.0,27.0,112.0
2022-05-20,178.0,15.0,85.0
2022-05-21,109.0,17.0,32.0
2022-05-22,96.0,14.0,37.0
2022-05-24,235.0,6.0,87.0
2022-05-25,155.0,15.0,53.0
2022-05-27,173.0,10.0,59.0
2022-05-30,122.0,11.0,47.0
2022-06-01,132.0,13.0,52.0
2022-06-03,96.0,9.0,46.0
2022-06-04,83.0,7.0,32.0
2022-06-05,88.0,15.0,35.0
2022-06-06,117.0,2.0,27.0
2022-06-07,196.0,12.0,74.0
2022-06-09,233.0,18.0,87.0
2022-06-12,109.0,11.0,39.0
2022-06-15,148.0,7.0,50.0
2022-06-16,196.0,11.0,86.0
2022-06-19,74.0,3.0,35.0
2022-06-21,236.0,9.0,79.0
2022-06-23,195.0,7.0,79.0
2022-06-24,214.0,17.0,103.0
2022-06-25,108.0,6.0,39.0
2022-06-27,184.0,22.0,54.0
2022-06-28,177.0,15.0,86.0
2022-06-29,205.0,5.0,83.0
2022-07-01,194.0,9.0,65.0
2022-07-06,179.0,14.0,75.0
2022-07-08,148.0,9.0,72.0
2022-07-09,81.0,3.0,37.0
2022-07-13,241.0,27.0,102.0
2022-07-14,268.0,21.0,108.0
2022-07-15,228.0,10.0,68.0
2022-07-16,102.0,5.0,53.0
2022-07-19,197.0,15.0,80.0
2022-07-23,96.0,5.0,33.0
2022-07-25,214.0,14.0,91.0
2022-07-26,186.0,15.0,60.0
2022-07-27,297.0,17.0,155.0
2022-07-28,194.0,9.0,77.0
2022-07-29,234.0,22.0,100.0
2022-07-30,115.0,7.0,64.0
2022-08-01,150.0,17.0,57.0
2022-08-02,155.0,9.0,56.0
2022-08-03,157.0,12.0,74.0
2022-08-07,69.0,8.0,17.0
2022-08-09,147.0,13.0,65.0
2022-08-10,202.0,16.0,90.0
2022-08-11,187.0,18.0,90.0
2022-08-12,163.0,7.0,53.0
2022-08-15,177.0,8.0,54.0
2022-08-16,151.0,26.0,68.0
2022-08-17,173.0,11.0,69.0
2022-08-19,124.0,8.0,51.0
2022-08-22,203.0,18.0,66.0
2022-08-23,210.0,14.0,70.0
2022-08-24,227.0,14.0,64.0
2022-08-25,192.0,14.0,77.0
2022-08-28,95.0,7.0,27.0
2022-08-29,180.0,14.0,58.0
2022-08-30,164.0,6.0,48.0
2022-09-03,113.0,8.0,41.0
2022-09-05,191.0,4.0,66.0
2022-09-06,188.0,11.0,68.0
2022-09-07,225.0,13.0,75.0
2022-09-10,74.0,6.0,31.0
2022-09-11,88.0,12.0,28.0
2022-09-14,177.0,10.0,55.0
2022-09-16,149.0,15.0,48.0
2022-09-17,72.0,5.0,23.0
2022-09-19,139.0,7.0,48.0
2022-09-20,182.0,15.0,76.0
2022-09-21,227.0,19.0,74.0
2022-09-22,181.0,10.0,63.0
2022-09-23,233.0,14.0,100.0
2022-09-25,85.0,7.0,33.0
2022-09-27,241.0,13.0,92.0
2022-09-28,204.0,14.0,75.0
2022-10-02,123.0,7.0,48.0
2022-10-03,280.0,14.0,76.0
2022-10-04,291.0,10.0,102.0
2022-10-05,285.0,12.0,77.0
2022-10-07,282.0,14.0,100.0
2022-10-08,111.0,3.0,27.0
2022-10-10,202.0,20.0,64.0
2022-10-12,295.0,16.0,84.0
2022-10-13,314.0,16.0,124.0
2022-10-17,216.0,16.0,78.0
2022-10-18,256.0,17.0,84.0
2022-10-19,306.0,16.0,96.0
